Total puntos: 2400
Punto 0: (0.37184, 208.935) indice: 0
Punto 1221: (345.47, 15.2311) indice: 1221
Punto 1222: (345.529, 22.4047) indice: 1222
Punto 1223: (345.614, 4.14614) indice: 1223
Punto 1224: (346.307, 13.4762) indice: 1224
Punto 1225: (346.345, 96.1744) indice: 1225
Punto 1226: (346.624, 278.158) indice: 1226
Punto 1227: (346.909, 1.74622) indice: 1227
Punto 1228: (347.168, 23.415) indice: 1228
Punto 1229: (347.407, 286.958) indice: 1229
Punto 1230: (347.429, 11.4402) indice: 1230
Punto 1231: (348.357, 15.3314) indice: 1231
Punto 1232: (349.18, 15.0868) indice: 1232
Punto 1233: (349.393, 8.35489) indice: 1233
Punto 1234: (349.684, 13.8468) indice: 1234
Punto 1235: (35.4792, 238.742) indice: 1235
Punto 1236: (35.9909, 136.769) indice: 1236
Punto 1237: (350.395, 1.87655) indice: 1237
Punto 1238: (350.759, 291.125) indice: 1238
Punto 1239: (350.94, 15.4817) indice: 1239
Punto 1240: (351.334, 279.775) indice: 1240
Punto 1241: (351.992, 14.8201) indice: 1241
Punto 1242: (352.131, 9.18197) indice: 1242
Punto 1243: (352.183, 273.221) indice: 1243
Punto 1244: (352.742, 17.4197) indice: 1244
Punto 1245: (354.558, 2.84784) indice: 1245
Punto 1246: (355.527, 13.304) indice: 1246
Punto 1247: (355.558, 285.814) indice: 1247
Punto 1248: (355.605, 294.321) indice: 1248
Punto 1249: (356.013, 291.942) indice: 1249
Punto 1250: (358.478, 59.4625) indice: 1250
Punto 1251: (359.765, 8.27992) indice: 1251
Punto 1252: (359.934, 81.3149) indice: 1252
Punto 1253: (36.0647, 276.659) indice: 1253
Punto 1254: (36.1133, 264.944) indice: 1254
Punto 1255: (36.2289, 34.3455) indice: 1255
Punto 1256: (36.2388, 74.5994) indice: 1256
Punto 1257: (36.833, 173.914) indice: 1257
Punto 1258: (360.312, 64.8242) indice: 1258
Punto 1259: (360.834, 50.3187) indice: 1259
Punto 1260: (361.371, 71.1992) indice: 1260
Punto 1261: (361.416, 51.2933) indice: 1261
Punto 1262: (361.672, 0.689412) indice: 1262
Punto 1263: (361.705, 39.7079) indice: 1263
Punto 1264: (361.76, 22.2195) indice: 1264
Punto 1265: (362.408, 5.14756) indice: 1265
Punto 1266: (362.427, 287.929) indice: 1266
Punto 1267: (362.673, 57.4426) indice: 1267
Punto 1268: (362.678, 47.2005) indice: 1268
Punto 1269: (362.769, 50.1646) indice: 1269
Punto 1270: (363.573, 39.2224) indice: 1270
Punto 1271: (363.732, 17.8535) indice: 1271
Punto 1272: (363.745, 289.283) indice: 1272
Punto 1273: (364.134, 41.9364) indice: 1273
Punto 1274: (364.19, 37.418) indice: 1274
Punto 1275: (364.398, 4.26276) indice: 1275
Punto 1276: (364.436, 272.004) indice: 1276
Punto 1277: (364.657, 37.1999) indice: 1277
Punto 1278: (364.781, 290.86) indice: 1278
Punto 1279: (364.822, 7.4726) indice: 1279
Punto 1280: (365.175, 1.01684) indice: 1280
Punto 1281: (365.362, 58.6057) indice: 1281
Punto 1282: (365.439, 57.5014) indice: 1282
Punto 1283: (365.52, 65.3938) indice: 1283
Punto 1284: (365.679, 267.796) indice: 1284
Punto 1285: (365.747, 48.203) indice: 1285
Punto 1286: (365.902, 0.616733) indice: 1286
Punto 1287: (366.142, 32.9368) indice: 1287
Punto 1288: (366.479, 52.496) indice: 1288
Punto 1289: (366.522, 279.752) indice: 1289
Punto 1290: (366.784, 69.2996) indice: 1290
Punto 1291: (367.215, 71.9848) indice: 1291
Punto 1292: (367.486, 64.2173) indice: 1292
Punto 1293: (367.637, 5.06084) indice: 1293
Punto 1294: (367.638, 35.8826) indice: 1294
Punto 1295: (367.873, 92.3448) indice: 1295
Punto 1296: (367.981, 203.551) indice: 1296
Punto 1297: (368.008, 283.657) indice: 1297
Punto 1298: (368.038, 48.1054) indice: 1298
Punto 1299: (368.083, 11.4167) indice: 1299
Punto 1300: (368.109, 5.054) indice: 1300
Punto 1301: (368.54, 32.9018) indice: 1301
Punto 1302: (368.542, 69.9146) indice: 1302
Punto 1303: (368.828, 11.5869) indice: 1303
Punto 1304: (369.322, 203.882) indice: 1304
Punto 1305: (37.1279, 297.222) indice: 1305
Punto 1306: (37.2505, 282.178) indice: 1306
Punto 1307: (37.4733, 72.4304) indice: 1307
Punto 1308: (37.5777, 239.396) indice: 1308
Punto 1309: (37.8619, 240.711) indice: 1309
Punto 1310: (370.883, 233.954) indice: 1310
Punto 1311: (371.092, 293.76) indice: 1311
Punto 1312: (371.194, 51.919) indice: 1312
Punto 1313: (371.215, 82.5121) indice: 1313
Punto 1314: (371.404, 272.31) indice: 1314
Punto 1315: (371.529, 47.4388) indice: 1315
Punto 1316: (372.174, 35.4816) indice: 1316
Punto 1317: (372.224, 6.85902) indice: 1317
Punto 1318: (372.281, 87.1117) indice: 1318
Punto 1319: (372.358, 44.2675) indice: 1319
Punto 1320: (372.711, 64.7951) indice: 1320
Punto 1321: (372.78, 282.18) indice: 1321
Punto 1322: (372.825, 277.998) indice: 1322
Punto 1323: (372.833, 211.771) indice: 1323
Punto 1324: (372.869, 67.984) indice: 1324
Punto 1325: (372.894, 48.9138) indice: 1325
Punto 1326: (372.938, 221.822) indice: 1326
Punto 1327: (373.276, 39.8796) indice: 1327
Punto 1328: (373.396, 46.0946) indice: 1328
Punto 1329: (373.52, 73.9579) indice: 1329
Punto 1330: (374.29, 55.8768) indice: 1330
Punto 1331: (374.378, 81.1645) indice: 1331
Punto 1332: (374.441, 213.207) indice: 1332
Punto 1333: (374.508, 203.58) indice: 1333
Punto 1334: (374.56, 213.391) indice: 1334
Punto 1335: (374.588, 66.4954) indice: 1335
Punto 1336: (374.637, 221.04) indice: 1336
Punto 1337: (375.019, 56.3865) indice: 1337
Punto 1338: (375.122, 78.0337) indice: 1338
Punto 1339: (375.281, 86.9297) indice: 1339
Punto 1340: (375.46, 38.1693) indice: 1340
Punto 1341: (375.608, 11.6287) indice: 1341
Punto 1342: (375.854, 59.1323) indice: 1342
Punto 1343: (375.968, 213.549) indice: 1343
Punto 1344: (376.113, 216.792) indice: 1344
Punto 1345: (376.12, 214.278) indice: 1345
Punto 1346: (376.188, 285.133) indice: 1346
Punto 1347: (376.19, 0.228559) indice: 1347
Punto 1348: (376.322, 36.7099) indice: 1348
Punto 1349: (376.332, 59.4696) indice: 1349
Punto 1350: (376.397, 210.438) indice: 1350
Punto 1351: (376.977, 48.9889) indice: 1351
Punto 1352: (377.147, 91.1914) indice: 1352
Punto 1353: (377.316, 206.688) indice: 1353
Punto 1354: (377.531, 228.463) indice: 1354
Punto 1355: (377.555, 44.709) indice: 1355
Punto 1356: (377.61, 9.55041) indice: 1356
Punto 1357: (377.61, 276.041) indice: 1357
Punto 1358: (377.8, 55.8177) indice: 1358
Punto 1359: (377.807, 197.214) indice: 1359
Punto 1360: (377.89, 285.216) indice: 1360
Punto 1361: (378.059, 41.0783) indice: 1361
Punto 1362: (378.374, 41.4542) indice: 1362
Punto 1363: (378.691, 232.472) indice: 1363
Punto 1364: (379.146, 67.6246) indice: 1364
Punto 1365: (379.192, 69.5974) indice: 1365
Punto 1366: (379.471, 57.4802) indice: 1366
Punto 1367: (379.612, 230.174) indice: 1367
Punto 1368: (379.713, 284.414) indice: 1368
Punto 1369: (379.812, 66.6735) indice: 1369
Punto 1370: (38.0164, 15.2732) indice: 1370
Punto 1371: (38.0912, 264.813) indice: 1371
Punto 1372: (38.2712, 3.42211) indice: 1372
Punto 1373: (38.8124, 82.775) indice: 1373
Punto 1374: (380.276, 215.61) indice: 1374
Punto 1375: (380.377, 224.013) indice: 1375
Punto 1376: (380.425, 88.9324) indice: 1376
Punto 1377: (380.636, 60.4832) indice: 1377
Punto 1378: (380.702, 284.918) indice: 1378
Punto 1379: (380.792, 48.0691) indice: 1379
Punto 1380: (380.793, 213.943) indice: 1380
Punto 1381: (380.808, 52.3697) indice: 1381
Punto 1382: (381.145, 65.9084) indice: 1382
Punto 1383: (381.208, 56.862) indice: 1383
Punto 1384: (381.285, 45.5429) indice: 1384
Punto 1385: (381.468, 74.5233) indice: 1385
Punto 1386: (381.889, 38.7992) indice: 1386
Punto 1387: (381.994, 62.2918) indice: 1387
Punto 1388: (382.111, 54.5496) indice: 1388
Punto 1389: (382.227, 48.7445) indice: 1389
Punto 1390: (382.29, 231.044) indice: 1390
Punto 1391: (382.459, 36.6273) indice: 1391
Punto 1392: (382.605, 77.5907) indice: 1392
Punto 1393: (382.725, 194.402) indice: 1393
Punto 1394: (382.998, 226.594) indice: 1394
Punto 1395: (383.325, 39.8623) indice: 1395
Punto 1396: (384.08, 44.5539) indice: 1396
Punto 1397: (384.519, 206.023) indice: 1397
Punto 1398: (384.606, 223.711) indice: 1398
Punto 1399: (384.733, 287.987) indice: 1399
Punto 1400: (385.135, 73.4092) indice: 1400
Punto 1401: (385.152, 66.0138) indice: 1401
Punto 1402: (385.181, 205.316) indice: 1402
Punto 1403: (385.231, 219.082) indice: 1403
Punto 1404: (385.308, 231.224) indice: 1404
Punto 1405: (385.391, 45.259) indice: 1405
Punto 1406: (385.525, 85.8371) indice: 1406
Punto 1407: (385.668, 91.9738) indice: 1407
Punto 1408: (385.881, 214.251) indice: 1408
Punto 1409: (385.967, 59.0089) indice: 1409
Punto 1410: (386.107, 220.885) indice: 1410
Punto 1411: (386.148, 72.6713) indice: 1411
Punto 1412: (386.148, 71.549) indice: 1412
Punto 1413: (386.261, 276.163) indice: 1413
Punto 1414: (386.418, 57.4038) indice: 1414
Punto 1415: (386.586, 214.969) indice: 1415
Punto 1416: (386.963, 68.8658) indice: 1416
Punto 1417: (387.184, 87.3627) indice: 1417
Punto 1418: (387.196, 225.672) indice: 1418
Punto 1419: (387.431, 45.6773) indice: 1419
Punto 1420: (387.802, 46.3271) indice: 1420
Punto 1421: (388.393, 212.566) indice: 1421
Punto 1422: (388.583, 223.363) indice: 1422
Punto 1423: (388.66, 78.5399) indice: 1423
Punto 1424: (388.671, 54.6474) indice: 1424
Punto 1425: (388.796, 61.8507) indice: 1425
Punto 1426: (389.545, 234.207) indice: 1426
Punto 1427: (389.557, 216.147) indice: 1427
Punto 1428: (389.583, 211.417) indice: 1428
Punto 1429: (389.592, 216.725) indice: 1429
Punto 1430: (389.879, 80.5128) indice: 1430
Punto 1431: (39.0086, 270.161) indice: 1431
Punto 1432: (39.1105, 146.958) indice: 1432
Punto 1433: (39.2698, 262.813) indice: 1433
Punto 1434: (39.273, 289.423) indice: 1434
Punto 1435: (39.6191, 287.426) indice: 1435
Punto 1436: (39.6579, 243.835) indice: 1436
Punto 1437: (39.9116, 275.317) indice: 1437
Punto 1438: (390.074, 210.425) indice: 1438
Punto 1439: (390.814, 60.2862) indice: 1439
Punto 1440: (391.218, 65.6122) indice: 1440
Punto 1441: (391.515, 73.7777) indice: 1441
Punto 1442: (391.953, 290.33) indice: 1442
Punto 1443: (391.985, 90.5151) indice: 1443
Punto 1444: (392.222, 49.5097) indice: 1444
Punto 1445: (392.239, 192.112) indice: 1445
Punto 1446: (392.367, 78.9656) indice: 1446
Punto 1447: (392.767, 65.6056) indice: 1447
Punto 1448: (393.252, 77.2254) indice: 1448
Punto 1449: (393.965, 53.6096) indice: 1449
Punto 1450: (393.996, 292.133) indice: 1450
Punto 1451: (394.027, 46.9322) indice: 1451
Punto 1452: (394.092, 47.8472) indice: 1452
Punto 1453: (394.158, 53.5587) indice: 1453
Punto 1454: (394.198, 281.351) indice: 1454
Punto 1455: (394.287, 221.617) indice: 1455
Punto 1456: (394.3, 49.2076) indice: 1456
Punto 1457: (394.355, 49.9038) indice: 1457
Punto 1458: (394.542, 42.2138) indice: 1458
Punto 1459: (395.086, 77.2432) indice: 1459
Punto 1460: (395.229, 277.182) indice: 1460
Punto 1461: (395.404, 274.644) indice: 1461
Punto 1462: (395.478, 54.7627) indice: 1462
Punto 1463: (396.083, 233.008) indice: 1463
Punto 1464: (396.177, 284.26) indice: 1464
Punto 1465: (396.39, 286.281) indice: 1465
Punto 1466: (396.41, 90.5116) indice: 1466
Punto 1467: (396.614, 186.834) indice: 1467
Punto 1468: (396.668, 50.0031) indice: 1468
Punto 1469: (396.675, 58.2297) indice: 1469
Punto 1470: (396.787, 199.432) indice: 1470
Punto 1471: (396.987, 76.2116) indice: 1471
Punto 1472: (397.705, 60.0982) indice: 1472
Punto 1473: (397.828, 61.3293) indice: 1473
Punto 1474: (397.883, 36.0012) indice: 1474
Punto 1475: (398.012, 88.9879) indice: 1475
Punto 1476: (398.538, 41.8545) indice: 1476
Punto 1477: (398.607, 37.8551) indice: 1477
Punto 1478: (398.725, 273.812) indice: 1478
Punto 1479: (399.184, 39.5492) indice: 1479
Punto 1480: (399.344, 286.288) indice: 1480
Punto 1481: (399.604, 59.0129) indice: 1481
Punto 1482: (399.819, 181.172) indice: 1482
Punto 1483: (399.931, 282.228) indice: 1483
Punto 1484: (4.31677, 194.614) indice: 1484
Punto 1485: (4.47542, 194.155) indice: 1485
Punto 1486: (4.57668, 207.184) indice: 1486
Punto 1487: (4.77222, 212.723) indice: 1487
Punto 1488: (40.0963, 132.102) indice: 1488
Punto 1489: (40.4402, 260.019) indice: 1489
Punto 1490: (40.6957, 151.137) indice: 1490
Punto 1491: (40.9383, 253.137) indice: 1491
Punto 1492: (400.013, 47.5548) indice: 1492
Punto 1493: (400.417, 54.2981) indice: 1493
Punto 1494: (400.437, 232.069) indice: 1494
Punto 1495: (400.597, 281.792) indice: 1495
Punto 1496: (400.655, 77.6208) indice: 1496
Punto 1497: (400.804, 81.4816) indice: 1497
Punto 1498: (400.827, 182.698) indice: 1498
Punto 1499: (401.086, 48.7593) indice: 1499
Punto 1500: (401.193, 72.3467) indice: 1500
Punto 1501: (401.308, 220.994) indice: 1501
Punto 1502: (401.77, 66.3409) indice: 1502
Punto 1503: (401.834, 68.5297) indice: 1503
Punto 1504: (402.052, 65.4639) indice: 1504
Punto 1505: (402.079, 93.048) indice: 1505
Punto 1506: (402.144, 209.554) indice: 1506
Punto 1507: (402.389, 38.6802) indice: 1507
Punto 1508: (402.443, 197.634) indice: 1508
Punto 1509: (402.67, 43.2499) indice: 1509
Punto 1510: (402.726, 179.959) indice: 1510
Punto 1511: (402.748, 185.025) indice: 1511
Punto 1512: (402.77, 290.285) indice: 1512
Punto 1513: (402.869, 282.344) indice: 1513
Punto 1514: (402.94, 40.3658) indice: 1514
Punto 1515: (403.037, 96.1298) indice: 1515
Punto 1516: (403.36, 38.0464) indice: 1516
Punto 1517: (403.651, 87.1854) indice: 1517
Punto 1518: (403.682, 85.8845) indice: 1518
Punto 1519: (403.947, 46.6451) indice: 1519
Punto 1520: (404.169, 76.4966) indice: 1520
Punto 1521: (404.33, 39.491) indice: 1521
Punto 1522: (404.472, 283.845) indice: 1522
Punto 1523: (404.858, 286.426) indice: 1523
Punto 1524: (405.229, 230.146) indice: 1524
Punto 1525: (405.401, 97.2868) indice: 1525
Punto 1526: (405.502, 56.9103) indice: 1526
Punto 1527: (405.859, 232.099) indice: 1527
Punto 1528: (405.874, 219.062) indice: 1528
Punto 1529: (405.976, 183.108) indice: 1529
Punto 1530: (406.281, 274.226) indice: 1530
Punto 1531: (406.516, 268.832) indice: 1531
Punto 1532: (406.626, 184.045) indice: 1532
Punto 1533: (406.631, 74.8063) indice: 1533
Punto 1534: (406.896, 90.5138) indice: 1534
Punto 1535: (407.047, 58.9896) indice: 1535
Punto 1536: (407.06, 70.2431) indice: 1536
Punto 1537: (407.114, 85.9877) indice: 1537
Punto 1538: (407.2, 40.126) indice: 1538
Punto 1539: (407.35, 273.096) indice: 1539
Punto 1540: (407.403, 275.21) indice: 1540
Punto 1541: (407.418, 187.233) indice: 1541
Punto 1542: (407.512, 50.0345) indice: 1542
Punto 1543: (407.525, 63.718) indice: 1543
Punto 1544: (407.845, 62.5661) indice: 1544
Punto 1545: (408.086, 65.8079) indice: 1545
Punto 1546: (408.101, 62.9215) indice: 1546
Punto 1547: (408.489, 87.2651) indice: 1547
Punto 1548: (408.5, 186.83) indice: 1548
Punto 1549: (408.604, 274.33) indice: 1549
Punto 1550: (409.406, 59.0088) indice: 1550
Punto 1551: (409.643, 43.8173) indice: 1551
Punto 1552: (409.654, 64.0102) indice: 1552
Punto 1553: (409.724, 210.768) indice: 1553
Punto 1554: (409.757, 74.4345) indice: 1554
Punto 1555: (409.818, 68.7887) indice: 1555
Punto 1556: (41.1023, 80.3255) indice: 1556
Punto 1557: (41.1565, 46.9287) indice: 1557
Punto 1558: (41.2066, 285.85) indice: 1558
Punto 1559: (41.2239, 297.019) indice: 1559
Punto 1560: (41.2768, 125.344) indice: 1560
Punto 1561: (41.392, 152.026) indice: 1561
Punto 1562: (41.3957, 169.422) indice: 1562
Punto 1563: (41.509, 292.841) indice: 1563
Punto 1564: (41.9967, 159.905) indice: 1564
Punto 1565: (410.026, 187.034) indice: 1565
Punto 1566: (410.171, 49.0921) indice: 1566
Punto 1567: (410.276, 210.034) indice: 1567
Punto 1568: (410.45, 68.065) indice: 1568
Punto 1569: (410.582, 47.2605) indice: 1569
Punto 1570: (410.593, 287.702) indice: 1570
Punto 1571: (410.703, 68.7717) indice: 1571
Punto 1572: (411.459, 72.2571) indice: 1572
Punto 1573: (411.504, 174.146) indice: 1573
Punto 1574: (411.543, 274.031) indice: 1574
Punto 1575: (411.721, 212.162) indice: 1575
Punto 1576: (411.735, 46.4728) indice: 1576
Punto 1577: (411.856, 200.189) indice: 1577
Punto 1578: (411.929, 82.2417) indice: 1578
Punto 1579: (412.152, 222.758) indice: 1579
Punto 1580: (412.159, 180.511) indice: 1580
Punto 1581: (412.211, 48.1025) indice: 1581
Punto 1582: (412.712, 69.5858) indice: 1582
Punto 1583: (412.756, 63.5008) indice: 1583
Punto 1584: (412.849, 189.627) indice: 1584
Punto 1585: (413.443, 53.9422) indice: 1585
Punto 1586: (414.039, 291.192) indice: 1586
Punto 1587: (414.099, 274.039) indice: 1587
Punto 1588: (414.254, 186.056) indice: 1588
Punto 1589: (414.43, 89.9085) indice: 1589
Punto 1590: (414.767, 68.0798) indice: 1590
Punto 1591: (414.791, 292.098) indice: 1591
Punto 1592: (415.229, 284.757) indice: 1592
Punto 1593: (415.406, 88.3542) indice: 1593
Punto 1594: (415.431, 80.1112) indice: 1594
Punto 1595: (415.521, 92.1768) indice: 1595
Punto 1596: (415.596, 54.8781) indice: 1596
Punto 1597: (415.64, 69.3249) indice: 1597
Punto 1598: (415.802, 58.5518) indice: 1598
Punto 1599: (415.985, 65.0457) indice: 1599
Punto 1600: (416.136, 93.7159) indice: 1600
Punto 1601: (416.229, 62.0963) indice: 1601
Punto 1602: (416.399, 281.33) indice: 1602
Punto 1603: (416.48, 80.9012) indice: 1603
Punto 1604: (416.601, 60.6776) indice: 1604
Punto 1605: (416.613, 277.085) indice: 1605
Punto 1606: (416.845, 197.32) indice: 1606
Punto 1607: (417.16, 73.1105) indice: 1607
Punto 1608: (417.296, 181.058) indice: 1608
Punto 1609: (417.318, 201.123) indice: 1609
Punto 1610: (417.592, 57.3613) indice: 1610
Punto 1611: (417.684, 175.408) indice: 1611
Punto 1612: (417.782, 280.438) indice: 1612
Punto 1613: (417.952, 88.7913) indice: 1613
Punto 1614: (418.171, 73.1646) indice: 1614
Punto 1615: (418.383, 196.53) indice: 1615
Punto 1616: (418.427, 90.4841) indice: 1616
Punto 1617: (418.492, 205.662) indice: 1617
Punto 1618: (418.557, 78.6552) indice: 1618
Punto 1619: (419.049, 65.1143) indice: 1619
Punto 1620: (419.149, 95.2283) indice: 1620
Punto 1621: (419.149, 214.757) indice: 1621
Punto 1622: (419.178, 51.2818) indice: 1622
Punto 1623: (419.363, 70.4425) indice: 1623
Punto 1624: (419.8, 280.178) indice: 1624
Punto 1625: (419.98, 70.3099) indice: 1625
Punto 1626: (42.2117, 141.877) indice: 1626
Punto 1627: (42.2478, 157.729) indice: 1627
Punto 1628: (42.3257, 133.434) indice: 1628
Punto 1629: (42.6515, 290.973) indice: 1629
Punto 1630: (42.7686, 267.609) indice: 1630
Punto 1631: (420.036, 193.364) indice: 1631
Punto 1632: (420.105, 88.0759) indice: 1632
Punto 1633: (420.317, 275.72) indice: 1633
Punto 1634: (420.422, 68.3839) indice: 1634
Punto 1635: (420.829, 66.1818) indice: 1635
Punto 1636: (420.859, 199.386) indice: 1636
Punto 1637: (420.892, 287.635) indice: 1637
Punto 1638: (421.186, 85.1136) indice: 1638
Punto 1639: (421.451, 276.185) indice: 1639
Punto 1640: (421.531, 72.7703) indice: 1640
Punto 1641: (421.933, 70.5686) indice: 1641
Punto 1642: (422.097, 82.9994) indice: 1642
Punto 1643: (422.191, 194.534) indice: 1643
Punto 1644: (422.587, 185.631) indice: 1644
Punto 1645: (423.006, 211.499) indice: 1645
Punto 1646: (423.039, 291.477) indice: 1646
Punto 1647: (423.738, 80.1317) indice: 1647
Punto 1648: (424.048, 285.958) indice: 1648
Punto 1649: (424.259, 84.7802) indice: 1649
Punto 1650: (424.322, 193.504) indice: 1650
Punto 1651: (424.713, 65.0413) indice: 1651
Punto 1652: (424.925, 61.9776) indice: 1652
Punto 1653: (425.073, 65.3907) indice: 1653
Punto 1654: (425.219, 275.67) indice: 1654
Punto 1655: (425.524, 149.847) indice: 1655
Punto 1656: (425.655, 83.8472) indice: 1656
Punto 1657: (425.745, 200.469) indice: 1657
Punto 1658: (426.08, 283.039) indice: 1658
Punto 1659: (426.175, 49.998) indice: 1659
Punto 1660: (426.276, 195.292) indice: 1660
Punto 1661: (426.287, 194.853) indice: 1661
Punto 1662: (426.332, 83.2437) indice: 1662
Punto 1663: (426.337, 284.251) indice: 1663
Punto 1664: (426.345, 91.3827) indice: 1664
Punto 1665: (426.729, 209.926) indice: 1665
Punto 1666: (426.917, 60.7603) indice: 1666
Punto 1667: (427.145, 179.52) indice: 1667
Punto 1668: (427.236, 58.0326) indice: 1668
Punto 1669: (427.398, 11.8191) indice: 1669
Punto 1670: (427.48, 130.901) indice: 1670
Punto 1671: (427.727, 221.541) indice: 1671
Punto 1672: (427.781, 137.876) indice: 1672
Punto 1673: (427.968, 90.9219) indice: 1673
Punto 1674: (428.074, 41.554) indice: 1674
Punto 1675: (428.305, 294.929) indice: 1675
Punto 1676: (428.403, 196.026) indice: 1676
Punto 1677: (428.703, 25.2049) indice: 1677
Punto 1678: (428.767, 50.7611) indice: 1678
Punto 1679: (428.796, 67.2288) indice: 1679
Punto 1680: (428.807, 141.003) indice: 1680
Punto 1681: (428.974, 51.4398) indice: 1681
Punto 1682: (429.096, 199.789) indice: 1682
Punto 1683: (429.206, 84.188) indice: 1683
Punto 1684: (429.552, 216.366) indice: 1684
Punto 1685: (429.895, 136.54) indice: 1685
Punto 1686: (429.927, 182.108) indice: 1686
Punto 1687: (43.2331, 184.748) indice: 1687
Punto 1688: (43.4237, 258.664) indice: 1688
Punto 1689: (43.433, 181.989) indice: 1689
Punto 1690: (43.4489, 282.338) indice: 1690
Punto 1691: (43.6845, 173.356) indice: 1691
Punto 1692: (43.9738, 246.805) indice: 1692
Punto 1693: (430.14, 138.774) indice: 1693
Punto 1694: (430.215, 135.668) indice: 1694
Punto 1695: (430.54, 194.8) indice: 1695
Punto 1696: (430.611, 54.7175) indice: 1696
Punto 1697: (430.854, 81.056) indice: 1697
Punto 1698: (430.875, 18.9879) indice: 1698
Punto 1699: (430.878, 192.071) indice: 1699
Punto 1700: (430.888, 134.999) indice: 1700
Punto 1701: (430.976, 73.7621) indice: 1701
Punto 1702: (430.984, 36.7046) indice: 1702
Punto 1703: (431.484, 11.6954) indice: 1703
Punto 1704: (431.903, 215.313) indice: 1704
Punto 1705: (431.988, 35.147) indice: 1705
Punto 1706: (432.32, 46.5487) indice: 1706
Punto 1707: (432.657, 137.575) indice: 1707
Punto 1708: (432.909, 143.742) indice: 1708
Punto 1709: (432.922, 183.786) indice: 1709
Punto 1710: (433.619, 66.8888) indice: 1710
Punto 1711: (433.903, 207.2) indice: 1711
Punto 1712: (434.286, 201.585) indice: 1712
Punto 1713: (434.33, 39.7546) indice: 1713
Punto 1714: (434.381, 120.738) indice: 1714
Punto 1715: (434.4, 217.169) indice: 1715
Punto 1716: (434.644, 131.075) indice: 1716
Punto 1717: (434.938, 205.957) indice: 1717
Punto 1718: (435.209, 193.587) indice: 1718
Punto 1719: (435.299, 195.537) indice: 1719
Punto 1720: (436.079, 193.274) indice: 1720
Punto 1721: (436.356, 202.006) indice: 1721
Punto 1722: (436.607, 138.189) indice: 1722
Punto 1723: (436.627, 209.828) indice: 1723
Punto 1724: (436.715, 48.2814) indice: 1724
Punto 1725: (436.768, 131.603) indice: 1725
Punto 1726: (436.793, 153.662) indice: 1726
Punto 1727: (436.795, 131.757) indice: 1727
Punto 1728: (436.821, 214.515) indice: 1728
Punto 1729: (436.994, 26.062) indice: 1729
Punto 1730: (437.104, 187.31) indice: 1730
Punto 1731: (437.125, 143.794) indice: 1731
Punto 1732: (437.156, 135.3) indice: 1732
Punto 1733: (437.288, 47.4306) indice: 1733
Punto 1734: (437.362, 210.993) indice: 1734
Punto 1735: (437.416, 34.9063) indice: 1735
Punto 1736: (438.143, 50.6184) indice: 1736
Punto 1737: (438.2, 120.199) indice: 1737
Punto 1738: (438.458, 126.011) indice: 1738
Punto 1739: (438.717, 9.08921) indice: 1739
Punto 1740: (439.509, 155.151) indice: 1740
Punto 1741: (439.906, 147.48) indice: 1741
Punto 1742: (44.1679, 172.301) indice: 1742
Punto 1743: (44.4164, 170.668) indice: 1743
Punto 1744: (44.579, 182.966) indice: 1744
Punto 1745: (440.755, 124.23) indice: 1745
Punto 1746: (440.905, 219.108) indice: 1746
Punto 1747: (440.973, 191.462) indice: 1747
Punto 1748: (441.577, 136.127) indice: 1748
Punto 1749: (441.873, 153.227) indice: 1749
Punto 1750: (442.852, 5.22532) indice: 1750
Punto 1751: (443.033, 115.579) indice: 1751
Punto 1752: (443.114, 132.968) indice: 1752
Punto 1753: (443.367, 210.69) indice: 1753
Punto 1754: (443.398, 27.6597) indice: 1754
Punto 1755: (443.677, 43.1383) indice: 1755
Punto 1756: (445.175, 132.182) indice: 1756
Punto 1757: (445.636, 38.5527) indice: 1757
Punto 1758: (445.784, 134.847) indice: 1758
Punto 1759: (445.997, 16.5309) indice: 1759
Punto 1760: (446.08, 123.502) indice: 1760
Punto 1761: (446.261, 147.548) indice: 1761
Punto 1762: (446.362, 138.45) indice: 1762
Punto 1763: (446.668, 109.213) indice: 1763
Punto 1764: (446.699, 7.63818) indice: 1764
Punto 1765: (446.779, 19.4919) indice: 1765
Punto 1766: (446.961, 211.831) indice: 1766
Punto 1767: (446.973, 26.9366) indice: 1767
Punto 1768: (447.243, 129.964) indice: 1768
Punto 1769: (447.272, 209.947) indice: 1769
Punto 1770: (447.278, 22.8964) indice: 1770
Punto 1771: (447.288, 145.368) indice: 1771
Punto 1772: (447.456, 119.96) indice: 1772
Punto 1773: (448.216, 43.6565) indice: 1773
Punto 1774: (448.513, 48.8495) indice: 1774
Punto 1775: (448.656, 208.38) indice: 1775
Punto 1776: (448.768, 40.7046) indice: 1776
Punto 1777: (449.033, 104.805) indice: 1777
Punto 1778: (449.048, 27.0262) indice: 1778
Punto 1779: (449.436, 24.562) indice: 1779
Punto 1780: (449.473, 35.4715) indice: 1780
Punto 1781: (449.747, 139.925) indice: 1781
Punto 1782: (449.961, 209.521) indice: 1782
Punto 1783: (45.071, 282.169) indice: 1783
Punto 1784: (45.1083, 45.3699) indice: 1784
Punto 1785: (45.1966, 282.994) indice: 1785
Punto 1786: (45.3672, 146.446) indice: 1786
Punto 1787: (45.453, 172.875) indice: 1787
Punto 1788: (45.8019, 298.252) indice: 1788
